Year,Station,Month,Rainfall,StationIndex
1970,Barisal,1,0,2
1970,Barisal,2,24,2
1970,Barisal,3,5,2
1970,Barisal,4,91,2
1970,Barisal,5,124,2
1970,Barisal,6,408,2
1970,Barisal,7,530,2
1970,Barisal,8,317,2
1970,Barisal,9,571,2
1970,Barisal,10,253,2
1970,Barisal,11,90,2
1970,Barisal,12,0,2
1970,Bhola,1,0,3
1970,Bhola,2,26,3
1970,Bhola,3,4,3
1970,Bhola,4,70,3
1970,Bhola,5,69,3
1970,Bhola,6,402,3
1970,Bhola,7,233,3
1970,Bhola,8,287,3
1970,Bhola,9,503,3
1970,Bhola,10,288,3
1970,Bhola,11,9,3
1970,Bhola,12,0,3
1970,Bogra,1,0,4
1970,Bogra,2,0,4
1970,Bogra,3,0,4
1970,Bogra,4,0,4
1970,Bogra,5,113,4
1970,Bogra,6,506,4
1970,Bogra,7,629,4
1970,Bogra,8,171,4
1970,Bogra,9,201,4
1970,Bogra,10,164,4
1970,Bogra,11,10,4
1970,Bogra,12,0,4
1970,Chandpur,1,0,5
1970,Chandpur,2,0,5
1970,Chandpur,3,13,5
1970,Chandpur,4,71,5
1970,Chandpur,5,57,5
1970,Chandpur,6,387,5
1970,Chandpur,7,433,5
1970,Chandpur,8,172,5
1970,Chandpur,9,208,5
1970,Chandpur,10,238,5
1970,Chandpur,11,1,5
1970,Chandpur,12,0,5
1970,Chittagong,1,1,6
1970,Chittagong,2,20,6
1970,Chittagong,3,2,6
1970,Chittagong,4,40,6
1970,Chittagong,5,158,6
1970,Chittagong,6,313,6
1970,Chittagong,7,1041,6
1970,Chittagong,8,405,6
1970,Chittagong,9,317,6
1970,Chittagong,10,380,6
1970,Chittagong,11,151,6
1970,Chittagong,12,0,6
1970,Comilla,1,20,7
1970,Comilla,2,9,7
1970,Comilla,3,63,7
1970,Comilla,4,134,7
1970,Comilla,5,187,7
1970,Comilla,6,129,7
1970,Comilla,7,546,7
1970,Comilla,8,240,7
1970,Comilla,9,37,7
1970,Comilla,10,284,7
1970,Comilla,11,74,7
1970,Comilla,12,0,7
1970,CoxsBazar,1,0,8
1970,CoxsBazar,2,40,8
1970,CoxsBazar,3,0,8
1970,CoxsBazar,4,69,8
1970,CoxsBazar,5,331,8
1970,CoxsBazar,6,578,8
1970,CoxsBazar,7,1424,8
1970,CoxsBazar,8,598,8
1970,CoxsBazar,9,308,8
1970,CoxsBazar,10,458,8
1970,CoxsBazar,11,67,8
1970,CoxsBazar,12,0,8
1970,Dhaka,1,16,9
1970,Dhaka,2,8,9
1970,Dhaka,3,23,9
1970,Dhaka,4,45,9
1970,Dhaka,5,192,9
1970,Dhaka,6,276,9
