Station,Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Bogra,1948,1,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Bogra,1948,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bogra,1948,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogra,1948,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,41,3,20,0,21,0,0,0,0,0,0,0,0,18,
Bogra,1948,5,0,24,0,0,0,0,0,0,2,5,8,0,0,14,0,9,65,0,55,0,21,9,7,24,31,14,0,1,8,0,0
Bogra,1948,6,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,
Bogra,1948,7,1,8,6,5,14,6,0,3,3,2,3,43,53,2,0,2,5,6,0,6,19,30,2,0,0,15,9,9,16,3,0
Bogra,1948,8,41,32,118,31,6,30,10,4,0,3,0,0,0,4,17,7,19,36,0,8,3,0,0,0,0,2,4,0,0,13,36
Bogra,1948,9,3,11,13,1,0,0,11,1,0,27,8,29,36,9,2,0,0,0,0,0,4,3,0,1,1,0,0,42,9,12,
Bogra,1948,10,12,5,169,36,0,0,0,0,0,1,31,32,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
Bogra,1948,11,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,
Bogra,1948,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comilla,1948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comilla,1948,2,0,0,0,3,0,109,70,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Comilla,1948,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0
Comilla,1948,4,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,9,0,54,2,101,23,0,15,0,54,0,0,0,19,
